cityId,attractionId
city1,attr1
city1,attr2
city1,attr3
city1,attr4
city1,attr51
city1,attr52
city1,attr53
city1,attr54
city1,attr55
city2,attr5
city2,attr6
city2,attr7
city2,attr56
city2,attr57
city2,attr58
city3,attr8
city3,attr9
city3,attr10
city3,attr59
city3,attr60
city3,attr61
city3,attr62
city4,attr11
city4,attr12
city4,attr63
city4,attr64
city4,attr65
city5,attr13
city5,attr14
city5,attr66
city5,attr67
city6,attr15
city6,attr16
city6,attr68
city6,attr69
city6,attr70
city7,attr17
city7,attr18
city7,attr71
city7,attr72
city8,attr19
city8,attr20
city8,attr21
city8,attr74
city8,attr75
city8,attr76
city8,attr77
city9,attr22
city9,attr23
city9,attr78
city9,attr79
city9,attr80
city10,attr24
city10,attr25
city10,attr81
city10,attr82
city11,attr26
city11,attr27
city11,attr83
city11,attr84
city11,attr85
city12,attr28
city12,attr29
city12,attr86
city12,attr87
city12,attr88
city13,attr30
city13,attr31
city13,attr89
city13,attr90
city13,attr91
city14,attr32
city14,attr33
city14,attr92
city14,attr93
city14,attr94
city15,attr34
city15,attr35
city15,attr95
city15,attr96
city16,attr36
city16,attr37
city16,attr97
city16,attr98
city17,attr38
city17,attr39
city17,attr99
city17,attr100
city18,attr40
city18,attr101
city18,attr102
city19,attr41
city19,attr103
city19,attr104
city19,attr105
city20,attr42
city20,attr43
city20,attr106
city20,attr107
city20,attr108
city21,attr44
city21,attr45
city22,attr44
city22,attr45
city22,attr109
city22,attr110
city23,attr46
city23,attr47
city23,attr111
city23,attr112
city24,attr48
city24,attr49
city24,attr113
city24,attr114
city24,attr115
city25,attr49
city25,attr116
city25,attr117
city25,attr118
city25,attr119
city26,attr120
city26,attr121
city26,attr122
city26,attr123
city27,attr124
city27,attr125
city28,attr126
city28,attr127
city29,attr128
city29,attr129
city29,attr130
city30,attr131
city30,attr132
city30,attr133
city31,attr134
city31,attr135
city32,attr136
city32,attr137
city32,attr138
city33,attr139
city33,attr140
city34,attr141
city34,attr142
city34,attr143
city35,attr144
city35,attr145
city36,attr146
city36,attr147
city37,attr148
city38,attr149
city38,attr150
city39,attr151
city39,attr152
city40,attr153
city40,attr154
city40,attr155
city41,attr156
city41,attr157
city42,attr158
city42,attr159
city43,attr160
city43,attr161
city44,attr162
city44,attr163
city45,attr164
city45,attr165
city46,attr166
city46,attr167
city47,attr168
city47,attr169
city48,attr170
city48,attr171
city49,attr172
city49,attr173
city50,attr174
city51,attr175
city51,attr176
city52,attr177
city52,attr178
city53,attr179
city53,attr180
city54,attr181
city54,attr182
city55,attr183
city56,attr184
city57,attr185
city57,attr186
city58,attr187
city58,attr188
city59,attr189
city60,attr190
city61,attr191
city62,attr192
city63,attr193
city64,attr194
