userId,cityId,visitedDate,rating
user1,city1,2024-06-15,4.8
user1,city2,2024-08-20,3.2
user1,city5,2024-09-10,4.5
user2,city1,2024-05-10,5.0
user2,city3,2024-07-15,2.1
user2,city8,2024-09-05,4.9
user3,city10,2024-06-20,1.8
user3,city20,2024-08-15,3.5
user3,city6,2024-10-01,4.2
user4,city1,2024-07-01,4.7
user4,city2,2024-08-10,3.8
user4,city5,2024-09-20,2.9
user5,city3,2024-05-15,5.0
user5,city8,2024-06-20,4.6
user5,city11,2024-09-10,4.9
user6,city10,2024-07-05,2.3
user6,city20,2024-08-20,1.5
user6,city6,2024-10-10,4.1
user7,city2,2024-06-10,4.3
user7,city5,2024-08-15,3.7
user7,city12,2024-09-25,5.0
user8,city1,2024-05-20,4.9
user8,city3,2024-07-10,3.4
user8,city8,2024-09-15,4.2
user9,city10,2024-06-25,2.8
user9,city13,2024-08-25,3.9
user9,city20,2024-10-05,1.9
user10,city1,2024-07-05,4.8
user10,city2,2024-08-15,4.1
user10,city5,2024-09-30,3.6
user11,city3,2024-05-25,4.5
user11,city8,2024-06-25,2.7
user11,city11,2024-09-15,4.7
user12,city2,2024-07-10,4.6
user12,city5,2024-08-20,3.3
user12,city12,2024-10-01,5.0
user13,city1,2024-05-30,4.9
user13,city3,2024-07-15,4.0
user13,city8,2024-09-20,3.8
user14,city10,2024-07-15,1.7
user14,city20,2024-08-30,2.4
user14,city6,2024-10-15,4.3
user15,city1,2024-06-05,5.0
user15,city3,2024-07-20,4.4
user15,city8,2024-09-25,4.1
user16,city2,2024-07-20,3.9
user16,city5,2024-08-25,2.6
user16,city12,2024-10-05,4.8
user17,city10,2024-07-25,2.9
user17,city13,2024-09-01,3.6
user17,city20,2024-10-10,1.6
user18,city1,2024-06-10,4.7
user18,city3,2024-07-25,3.1
user18,city8,2024-09-30,4.5
user19,city2,2024-07-30,4.2
user19,city5,2024-08-30,3.4
user19,city12,2024-10-10,4.9
user20,city1,2024-06-15,5.0
user20,city3,2024-07-30,4.3
user20,city8,2024-10-01,3.7
user21,city10,2024-08-01,2.1
user21,city20,2024-09-05,1.4
user21,city6,2024-10-15,4.0
user22,city2,2024-08-05,4.4
user22,city5,2024-09-05,3.8
user22,city12,2024-10-20,4.6
user23,city1,2024-06-20,4.8
user23,city3,2024-08-05,2.8
user23,city8,2024-10-05,4.2
user24,city10,2024-08-10,3.1
user24,city13,2024-09-10,4.1
user24,city20,2024-10-20,2.2
user25,city2,2024-08-15,4.7
user25,city5,2024-09-10,3.5
user25,city12,2024-10-25,5.0
user26,city1,2024-06-25,4.9
user26,city3,2024-08-10,4.6
user26,city8,2024-10-10,3.9
user27,city2,2024-08-20,4.3
user27,city5,2024-09-15,2.5
user27,city12,2024-10-30,4.8
user28,city10,2024-08-25,1.9
user28,city20,2024-09-20,2.7
user28,city6,2024-11-01,4.4
user29,city1,2024-06-30,4.8
user29,city3,2024-08-15,3.2
user29,city8,2024-10-15,4.3
user30,city2,2024-08-30,4.5
user30,city5,2024-09-25,3.1
user30,city12,2024-11-05,5.0
